query,description,k,retrieval_time_ms,retrieved_count,relevant_count,total_relevant,precision,recall,avg_similarity
网络安全的定义？,消融实验,10,606.35,10,4,4,0.4,1.0,0.6196
计算机网络中七层模型具体是什么？,消融实验,10,373.17,10,4,4,0.4,1.0,0.6681
TCP协议的三次握手和四次挥手的过程？,消融实验,10,392.01,10,4,4,0.4,1.0,0.7315
DNS过程有哪些攻击方式？,消融实验,10,370.22,10,6,6,0.6,1.0,0.7219
HTTP不同版本都有哪些特点？,消融实验,10,376.35,10,8,8,0.8,1.0,0.7215
三层隧道加密协议是什么？具体是由什么构成？,消融实验,10,360.35,10,8,8,0.8,1.0,0.6579
对称加密与非对称加密的区别是什么？,消融实验,10,387.02,10,6,6,0.6,1.0,0.6338
什么是哈希函数？常见的哈希算法有哪些？,消融实验,10,375.07,10,7,7,0.7,1.0,0.6894
什么是数字签名？其作用是什么？,消融实验,10,517.82,10,9,9,0.9,1.0,0.5883
什么是防火墙？它有哪些类型？,消融实验,10,375.62,10,5,5,0.5,1.0,0.6241
什么是入侵检测系统（IDS）与入侵防御系统（IPS）？,消融实验,10,372.3,10,6,6,0.6,1.0,0.6826
什么是零信任安全模型？,消融实验,10,855.47,10,6,6,0.6,1.0,0.6483
HTTPS的工作原理是什么？,消融实验,10,408.6,10,5,5,0.5,1.0,0.6602
SSL/TLS握手过程是怎样的？,消融实验,10,474.79,10,7,7,0.7,1.0,0.7433
IPsec协议的两种工作模式是什么？,消融实验,10,419.27,10,8,8,0.8,1.0,0.7049
什么是ARP协议？ARP欺骗是如何发生的？,消融实验,10,391.78,10,5,5,0.5,1.0,0.6428
什么是CSRF攻击？其原理是什么？,消融实验,10,379.15,10,6,6,0.6,1.0,0.6369
什么是同源策略？它的作用是什么？,消融实验,10,458.12,10,7,7,0.7,1.0,0.6315
SQL注入攻击的原理是什么？如何防御？,消融实验,10,384.24,10,7,7,0.7,1.0,0.6959
XSS攻击的类型有哪些？,消融实验,10,559.07,10,6,6,0.6,1.0,0.6782
DDoS攻击的基本原理是什么？,消融实验,10,379.45,10,6,6,0.6,1.0,0.7103
什么是中间人攻击（MITM）？,消融实验,10,404.54,10,7,7,0.7,1.0,0.6499
什么是重放攻击？如何防范？,消融实验,10,423.38,10,6,6,0.6,1.0,0.6803
什么是缓冲区溢出攻击？,消融实验,10,405.18,10,5,5,0.5,1.0,0.6465
钓鱼攻击（Phishing）通常有哪些形式？,消融实验,10,374.91,10,5,5,0.5,1.0,0.6639
在HTTPS通信过程中，如果证书被伪造，会带来哪些安全风险？如何检测？,消融实验,10,467.13,10,6,6,0.6,1.0,0.721
在一个企业网络中，如果同时遭受DDoS攻击和DNS污染攻击，应如何分析与应对？,消融实验,10,389.44,10,7,7,0.7,1.0,0.714
对比HTTP和HTTPS，在性能与安全性之间有哪些权衡？,消融实验,10,390.63,10,7,7,0.7,1.0,0.7153
如果一个Web应用同时存在SQL注入和XSS漏洞，攻击者可以如何组合利用？,消融实验,10,396.32,10,7,7,0.7,1.0,0.7293
在零信任架构下，传统防火墙的作用是否会被削弱？为什么？,消融实验,10,399.86,10,5,5,0.5,1.0,0.6584
